#time	#distance
1664.39664804469	342137.716065365
1669.41899441341	343308.943025004
1674.44134078212	344480.169984642
1679.46368715084	345651.396944281
1684.48603351955	346822.62390392
1689.50837988827	347993.850863559
1694.53072625698	349165.077823197
1699.5530726257	350336.304782836
1704.57541899441	351507.531742475
1709.59776536313	352678.758702113
1714.62011173184	353849.985661752
1719.64245810056	355021.212621391
1724.66480446927	356192.439581029
1729.68715083799	357363.666540668
1734.7094972067	358534.893500307
1739.73184357542	359706.120459946
1744.75418994413	360877.347419584
1749.77653631285	362048.574379223
1754.79888268156	363219.801338862
1759.82122905028	364391.0282985
1764.84357541899	365562.255258139
1769.86592178771	366733.482217778
1774.88826815642	367904.709177416
1779.91061452514	369075.936137055
1784.93296089385	370247.163096694
1789.95530726257	371418.390056333
1794.97765363129	372589.617015971
1800	373760.84397561
1805	374932.070935249
