#time	#height
301	3.99676470588234
302	4.00692470588234
303	4.01708470588234
304	4.02724470588234
305	4.03740470588234
306	4.04756470588234
307	4.05772470588234
308	4.06788470588234
309	4.07804470588234
310	4.08820470588234
311	4.09836470588233
312	4.10852470588233
313	4.11868470588233
314	4.12884470588233
315	4.13900470588233
316	4.14916470588233
317	4.15932470588233
318	4.16948470588233
319	4.17964470588233
320	4.18980470588233
321	4.19996470588233
322	4.21012470588233
323	4.22028470588233
324	4.23044470588233
325	4.24060470588233
326	4.25076470588233
327	4.26092470588233
328	4.27108470588233
329	4.28124470588233
330	4.29140470588233
331	4.30156470588233
332	4.31172470588233
333	4.32188470588233
334	4.33204470588233
335	4.34220470588233
336	4.35236470588233
337	4.36252470588233
338	4.37268470588233
339	4.38284470588233
340	4.39300470588233
